clause_id,source_document,clause_text,suggested_category,suggested_risk,category,risk_level,annotator_notes,confidence,matched_keywords
discord_001,discord_privacy.txt,"Discord Privacy Policy
Effective: September 29, 2025
Last Updated: August 29, 2025",none,NONE,none,NONE,This clause is categorized as none because it involves none behavior. The risk is NONE due to its potential impact on user data control or privacy.,,
discord_002,discord_privacy.txt,"We care a lot about privacy. We are committed to enabling you to build meaningful connections around the joy of playing games through voice, video and text features. Respecting user privacy is a key part of that mission.
We don't sell your personal information. Our business is funded through subscriptions, paid products, and sponsored content, not based on selling your personal information to third parties.
We limit what information is required. We require the information that enables us to create your account, provide and maintain our services, meet our commitments to our users, and satisfy our legal requirements. The rest is optional.",none,NONE,none,NONE,This clause is categorized as none because it involves none behavior. The risk is NONE due to its potential impact on user data control or privacy.,,
discord_003,discord_privacy.txt,"Account information. When you create a Discord account, you can come up with a username and password, and provide a way of contacting you such as an email address and/or phone number. You'll also need to provide your birthday. In some cases, we may require additional information to verify your age.",none,NONE,none,NONE,This clause is categorized as none because it involves none behavior. The risk is NONE due to its potential impact on user data control or privacy.,,
discord_004,discord_privacy.txt,"Content you create. This includes any content that you upload to the service. For example, you may write messages or posts including drafts, send voice messages, create custom emojis, or post other content that you create with features that we develop. You may also upload and share files through the services. This also includes your profile information and the information you provide when you create servers. We generally do not store the contents of video or voice calls or channels. We may build features that help users engage with voice and video content, like create or send short recordings.",none,NONE,third_party_access,HIGH,This clause is categorized as third_party_access because it involves third party access behavior. The risk is HIGH due to its potential impact on user data control or privacy.,,
discord_005,discord_privacy.txt,"Payment information. If you buy any paid services through Discord, you may need to submit a valid payment method and associated billing information, including your full name and billing address. Our payment processors, like Stripe and PayPal, receive and process your payment information. Depending on the processor, we may also receive and store certain billing information, including the last four digits of the credit card number associated with the transaction.",none,NONE,data_retention,MEDIUM,This clause is categorized as data_retention because it involves data retention behavior. The risk is MEDIUM due to its potential impact on user data control or privacy.,,
discord_006,discord_privacy.txt,"Information from actions you take. We collect information about your use of Discord and your activities on the services. This includes information such as the friends you add, the users, bots, and apps you engage with, the servers or other communities you join and participate in, your roles in servers, content moderation decisions you make, information about purchases or sales you make on or through Discord including what you purchased or sold, and other related actions. We may also collect limited information from your device while Discord is running such as the game you are playing.",none,NONE,none,NONE,This clause is categorized as none because it involves none behavior. The risk is NONE due to its potential impact on user data control or privacy.,,
discord_007,discord_privacy.txt,"Information from optional features. Certain features, like contact syncing, may require that you provide additional information or grant us access to such information to make them work. This also includes if you choose to interact with sponsored content, enable integrations, or authorize third-party services to share data with us. For example, when you link a music streaming or game account, we may collect information about that account such as the song you are listening to or the game you are playing in order to display that information on your profile or as your status.",third_party_access,MEDIUM,third_party_access,MEDIUM,This clause is categorized as third_party_access because it involves third party access behavior. The risk is MEDIUM due to its potential impact on user data control or privacy.,0.373,third-party services
discord_008,discord_privacy.txt,"Information about your device. We collect information about the device you are using to access the services. For example, this includes information like your IP address, operating system information, browser information, and information about your device settings, such as your microphone and/or camera.",tracking_profiling,LOW,tracking_profiling,LOW,This clause is categorized as tracking_profiling because it involves tracking profiling behavior. The risk is LOW due to its potential impact on user data control or privacy.,0.507,"ip address, operating system"
discord_009,discord_privacy.txt,"Information about your use of the apps or websites. For example, we collect log and event information related to how and when you use our services such as the pages, servers, and channels you visit, the activities you engage in, the features you use, and the surfaces or embedded content you interact with.",none,NONE,none,NONE,This clause is categorized as none because it involves none behavior. The risk is NONE due to its potential impact on user data control or privacy.,,
discord_010,discord_privacy.txt,"Other information that we collect automatically. When you take certain actions on other sites, we may receive information about you. For example, when we advertise for Discord on third party platforms, if you click on the ad, we may receive information about which ad you saw and on which platform.",none,NONE,third_party_access,HIGH,This clause is categorized as third_party_access because it involves third party access behavior. The risk is HIGH due to its potential impact on user data control or privacy.,,
discord_011,discord_privacy.txt,We may receive information from cookies and similar technologies.,none,NONE,none,NONE,This clause is categorized as none because it involves none behavior. The risk is NONE due to its potential impact on user data control or privacy.,,
discord_012,discord_privacy.txt,"Information we receive from other sources. We may receive information about you from other sources, including from other users and third parties, and combine that information with the other information we have about you. We may also receive information about you from advertisers and third-party data providers, such as demographic information and how you engage with other products and services outside of Discord.",data_sharing,MEDIUM,data_sharing,MEDIUM,This clause is categorized as data_sharing because it involves data sharing behavior. The risk is MEDIUM due to its potential impact on user data control or privacy.,0.867,"receive information about you from, third-party data providers, such as demographic information"
discord_013,discord_privacy.txt,To provide you with the services. We use your information to provide you with the Discord services.,none,NONE,none,NONE,This clause is categorized as none because it involves none behavior. The risk is NONE due to its potential impact on user data control or privacy.,,
discord_014,discord_privacy.txt,"To meet our commitments to the Discord community. We work hard to try to make Discord a safe, positive, and inclusive place.",none,NONE,none,NONE,This clause is categorized as none because it involves none behavior. The risk is NONE due to its potential impact on user data control or privacy.,,
discord_015,discord_privacy.txt,"To do so, we use your information to monitor for and take action against users and content that violate our Terms of Service, Community Guidelines, and other policies.",none,NONE,none,NONE,This clause is categorized as none because it involves none behavior. The risk is NONE due to its potential impact on user data control or privacy.,,
discord_016,discord_privacy.txt,"This includes responding to user reports, generating transcriptions of content as part of our investigation, detecting fraud and malware, and proactively scanning attachments and other content for illegal or harmful activity.",tracking_profiling,HIGH,tracking_profiling,HIGH,This clause is categorized as tracking_profiling because it involves tracking profiling behavior. The risk is HIGH due to its potential impact on user data control or privacy.,0.747,"proactively scanning attachments and other content, scanning attachments"
discord_017,discord_privacy.txt,"We also use certain information, which may include content reported to us, content that violates our Terms of Service, and certain other content widely available on the service such as public posts, usernames, avatars, banners, user profiles, server names, server icons, and server banners, to create systems and models that can be automated to more swiftly detect, categorize, and take action against prohibited content or conduct.",content_rights,HIGH,content_rights,HIGH,This clause is categorized as content_rights because it involves content rights behavior. The risk is HIGH due to its potential impact on user data control or privacy.,0.733,create systems and models that can be automated
discord_018,discord_privacy.txt,"To personalize the product. We use your information to personalize our services. This can include customizing your experience on Discord so that you see communities, activities, applications, features or promotions from us, or other content that may be of interest to you.",none,NONE,tracking_profiling,MEDIUM,This clause is categorized as tracking_profiling because it involves tracking profiling behavior. The risk is MEDIUM due to its potential impact on user data control or privacy.,,
discord_019,discord_privacy.txt,To deliver relevant sponsored content. We use your information to help us surface sponsored content such as Quests and other sponsored formats that may be of interest to you.,tracking_profiling,MEDIUM,tracking_profiling,MEDIUM,This clause is categorized as tracking_profiling because it involves tracking profiling behavior. The risk is MEDIUM due to its potential impact on user data control or privacy.,0.867,"surface sponsored content, sponsored formats that may be of interest"
