clause_id,source_document,clause_text,suggested_category,suggested_risk,category,risk_level,annotator_notes,confidence,matched_keywords
spotify_tos_001,spotify_tos.txt,"Spotify Terms of Use
Last Updated: August 26, 2025",none,NONE,none,NONE,"This row is only the document title and update date, so it does not contain a substantive policy term or user-risk clause.",,
spotify_tos_002,spotify_tos.txt,"User Content License
You retain ownership of your User Content when you post it to the Service.",none,NONE,content_rights,LOW,"This clause concerns content rights, but it is low risk because it explicitly says the user retains ownership of content posted to the service.",,
spotify_tos_003,spotify_tos.txt,"However, you hereby grant to Spotify a non-exclusive, transferable, sub-licensable, royalty-free, fully paid, irrevocable, worldwide license to reproduce, make available, perform and display, translate, modify, create derivative works from, distribute, and otherwise use any such User Content through any medium, whether alone or in combination with other Content or materials, in any manner and by any means, method or technology, whether now known or hereafter created, in connection with the Spotify Service.",content_rights,MEDIUM,content_rights,HIGH,"This clause is high-risk content_rights language because it gives Spotify a very broad, transferable, sublicensable, irrevocable, worldwide license to use and modify user content across media.",0.373,worldwide license
spotify_tos_004,spotify_tos.txt,"Where applicable and to the extent permitted under applicable law, you also agree to waive, and not to enforce, any moral rights or equivalent rights, such as your right to be identified as the author of any User Content.",content_rights,HIGH,content_rights,HIGH,"This clause is high risk because it requires users to waive moral rights, reducing their ability to be identified as the author or control attribution of their content.",0.867,"waive, and not to enforce, any moral rights, right to be identified as the author"
spotify_tos_005,spotify_tos.txt,"Feedback. If you provide ideas, suggestions, or other feedback in connection with your use of the Spotify Service or any Content, such Feedback is not confidential and may be used by Spotify without restriction and without payment to you.",none,NONE,content_rights,MEDIUM,"This clause is categorized as content_rights because feedback can be used by Spotify without restriction or payment, which reduces the user's control and compensation rights over submitted ideas.",,
spotify_tos_006,spotify_tos.txt,"Your Device. You also grant to us the right to allow the Spotify Service to use the processor, bandwidth, and storage hardware on your Device in order to facilitate the operation of the Spotify Service, and to provide advertising and other information to you, and to allow our business partners to do the same.",none,NONE,third_party_access,MEDIUM,"This clause is medium-risk third_party_access language because Spotify and its business partners are allowed to use device resources and deliver advertising, extending operational access beyond Spotify alone.",,
spotify_tos_007,spotify_tos.txt,"Warranty Disclaimers
Some jurisdictions do not allow the exclusion of implied warranties or limitations on applicable statutory rights of a consumer, so the exclusion and limitations in this section may not apply to you and nothing will affect your statutory rights.",liability_limitation,LOW,none,NONE,"This clause preserves statutory consumer rights in some jurisdictions, so it is not itself a harmful limitation on the user.",0.733,some jurisdictions do not allow
spotify_tos_008,spotify_tos.txt,"The Spotify Service is provided ""as is"" and ""as available,"" without any warranties of any kind, whether express, implied, or statutory. Further, Spotify and all owners of the content disclaim any express, implied, and statutory warranties regarding the content, including warranties of satisfactory quality, merchantability, fitness for a particular purpose, or non-infringement. Neither Spotify nor any owner of content warrants that the Spotify Service or content is free of malware or other harmful components. This section applies to the fullest extent permitted by applicable law.",liability_limitation,HIGH,liability_limitation,HIGH,"This clause is high-risk liability_limitation language because Spotify provides the service 'as is' and broadly disclaims warranties about quality, fitness, non-infringement, and harmful components.",0.687,"fullest extent permitted, to the fullest extent"
spotify_tos_009,spotify_tos.txt,"Limitation of Liability
Subject to applicable law, you agree that your sole and exclusive remedy for any problems or dissatisfaction with the Spotify Service is to uninstall any Spotify software and to stop using the Spotify Service.",liability_limitation,LOW,liability_limitation,MEDIUM,"This clause is a liability limitation because it says the user's main remedy is simply to stop using the service, which meaningfully narrows available recourse.",0.493,limitation of liability
spotify_tos_010,spotify_tos.txt,"In no event will Spotify, its officers, shareholders, employees, agents, directors, subsidiaries, affiliates, successors, assigns, suppliers, or licensors be liable for (1) any indirect, special, incidental, punitive, exemplary, or consequential damages; (2) any loss of use, data, business, or profits whether direct or indirect, in all cases arising out of the use of or inability to use the Spotify Service; or (3) aggregate liability for all claims relating to the Spotify Service more than the greater of the amounts paid by you to Spotify during the twelve months prior to the first claim, or $30.00.",liability_limitation,HIGH,liability_limitation,HIGH,"This clause is high risk because it excludes many categories of damages and caps total liability at a low amount, substantially limiting recovery even if the user suffers harm.",0.867,"aggregate liability for all claims, aggregate liability for all claims relating to"
spotify_tos_011,spotify_tos.txt,"Except where such restriction is prohibited under applicable law, any claim arising under these terms must be commenced by filing a demand for arbitration or filing an individual action within one year after the date the party asserting the claim first knows or reasonably should know of the act, omission, or default giving rise to the claim; and there shall be no right to any remedy for any claim not asserted within that time period.",none,NONE,arbitration,HIGH,"This clause is high-risk arbitration-related language because it imposes a one-year deadline to bring claims and bars remedies for claims filed later, significantly restricting legal recourse.",,
spotify_tos_012,spotify_tos.txt,"Indemnification
You agree to indemnify and hold Spotify harmless from and against any reasonably foreseeable direct losses, damages, and reasonable expenses including reasonable attorney fees and costs suffered or incurred by Spotify arising out of or related to: (1) your breach of any of these Terms; (2) any User Content you post or otherwise contribute; (3) any activity in which you engage on or through the Spotify Service; and (4) your violation of any law or the rights of a third party.",liability_limitation,HIGH,liability_limitation,HIGH,"This clause is high risk because it requires the user to indemnify Spotify for losses, fees, and third-party claims arising from the user's conduct or content.",0.92,"indemnify and hold spotify harmless, indemnify and hold harmless, you agree to indemnify"
spotify_tos_013,spotify_tos.txt,"Class Action Waiver
WHERE PERMITTED UNDER THE APPLICABLE LAW, YOU AND SPOTIFY AGREE THAT EACH MAY BRING CLAIMS AGAINST THE OTHER ONLY IN YOUR OR ITS INDIVIDUAL CAPACITY AND NOT AS A PLAINTIFF OR CLASS MEMBER IN ANY PURPORTED CLASS OR REPRESENTATIVE ACTION. Unless both you and Spotify agree, no arbitrator or judge may consolidate more than one person's claims or otherwise preside over any form of a representative or class proceeding.",arbitration,HIGH,arbitration,HIGH,"This clause is high-risk arbitration language because it waives class and representative actions, forcing users to pursue claims only on an individual basis.",1.0,"class action waiver, not as a plaintiff or class member, only in your individual capacity"
spotify_tos_014,spotify_tos.txt,"Mandatory Arbitration
You and Spotify agree that any dispute, claim, or controversy between you and Spotify arising in connection with or relating in any way to these Agreements or to your relationship with Spotify as a user of the Service, whether based in contract, tort, statute, fraud, misrepresentation, or any other legal theory, and whether the claims arise during or after the termination of the Agreements, will be determined by mandatory binding individual arbitration. Arbitration is more informal than a lawsuit in court.",arbitration,HIGH,arbitration,HIGH,"This clause is high risk because it requires mandatory binding individual arbitration for disputes, which removes the default option of resolving claims in court.",0.613,mandatory binding individual arbitration
spotify_tos_015,spotify_tos.txt,"THERE IS NO JUDGE OR JURY IN ARBITRATION, AND COURT REVIEW OF AN ARBITRATION AWARD IS LIMITED. There may be more limited discovery than in court.",none,NONE,arbitration,HIGH,This clause is arbitration-related and high risk because it makes clear that users give up a judge or jury and face limited court review and discovery.,,
spotify_tos_016,spotify_tos.txt,"The arbitrator must follow this agreement and can award the same damages and relief as a court including attorney fees, except that the arbitrator may not award declaratory or injunctive relief benefiting anyone but the parties to the arbitration. This arbitration provision will survive termination of the Agreements.",arbitration,HIGH,arbitration,MEDIUM,This clause is medium-risk arbitration language because it limits the arbitrator's ability to grant broader declaratory or injunctive relief that could benefit others.,0.733,arbitrator may not award declaratory or injunctive relief
spotify_tos_017,spotify_tos.txt,"Arbitration Time Limit
Any arbitration must be commenced by filing a demand for arbitration within ONE YEAR after the date the party asserting the claim first knows or reasonably should know of the act, omission, or default giving rise to the claim; and there shall be no right to any remedy for any claim not asserted within that time period.",none,NONE,arbitration,HIGH,This clause is high risk because it applies a strict one-year time limit for arbitration claims and eliminates remedies for claims brought after that deadline.,,
spotify_tos_018,spotify_tos.txt,"If the class action waiver at Section 6.2 is found to be unenforceable in arbitration or if any part of this Section 6.3 is found to be invalid or unenforceable, then the entirety of this Section 6.3 shall be null and void.",arbitration,HIGH,arbitration,LOW,"This clause is a low-risk arbitration severability provision because it governs when the arbitration section becomes unenforceable, rather than directly imposing a new burden on the user.",0.493,class action waiver
spotify_tos_019,spotify_tos.txt,"Service Modifications and Liability
We use reasonable care and skill to keep the Spotify Service operational and to provide you with a personalized, immersive audio experience.",none,NONE,none,NONE,This clause is a general service-quality statement and does not impose a risk-bearing obligation or remove a user right.,,
spotify_tos_020,spotify_tos.txt,"However, our service offerings and their availability may change from time to time and subject to applicable laws, without liability to you.",none,NONE,liability_limitation,MEDIUM,This clause is a liability limitation because Spotify reserves the right to change service offerings and availability without liability to the user.,,
spotify_tos_021,spotify_tos.txt,"The Spotify Service may experience temporary interruptions due to technical difficulties, maintenance or testing, or updates.",none,NONE,none,NONE,This clause only discloses that temporary interruptions may happen and does not by itself add a distinct legal risk category.,,
spotify_tos_022,spotify_tos.txt,"We may modify, suspend, or stop permanently or temporarily providing all or part of the Spotify Service including particular functions, features, subscription plans and promotional offerings.",liability_limitation,MEDIUM,liability_limitation,MEDIUM,"This clause is medium-risk liability_limitation language because Spotify can modify, suspend, or permanently stop parts of the service, reducing user certainty and continuity.",0.733,"may modify, suspend, or stop permanently or temporarily"
spotify_tos_023,spotify_tos.txt,"Spotify has no obligation to provide any specific content through the Spotify Service, and Spotify or the applicable owners may remove access to particular songs, videos, podcasts, audiobooks and other Content without notice.",none,NONE,liability_limitation,MEDIUM,"This clause is medium risk because Spotify disclaims any obligation to provide specific content and may remove access without notice, limiting user expectations and recourse.",,
spotify_tos_024,spotify_tos.txt,"Spotify has no liability to you, nor any obligation to provide a refund to you, in connection with internet or other service outages or failures that are caused by the actions of government authorities, other third parties or events beyond our control.",none,NONE,liability_limitation,MEDIUM,This clause is a liability limitation because Spotify denies liability and refunds for outages caused by third parties or events beyond its control.,,
spotify_tos_025,spotify_tos.txt,"If you or Spotify terminate these Terms, or if Spotify suspends your access to the Spotify Service, you agree that Spotify shall, subject to applicable laws, have no liability or responsibility to you, and except as expressly provided in these Terms, Spotify will not refund any amounts that you have already paid.",none,NONE,liability_limitation,HIGH,"This clause is high risk because if access is suspended or the terms are terminated, Spotify disclaims liability and generally refuses refunds for amounts already paid.",,
spotify_tos_026,spotify_tos.txt,"Surviving Sections
Sections covering Content and Intellectual Property Rights, Your Use of the Spotify Service, The Spotify Service Provided by Us, Problems and Disputes, and About These Terms shall survive termination.",none,NONE,none,NONE,This row only lists which sections survive termination and does not independently create one of the project's main risk categories.,,
spotify_tos_027,spotify_tos.txt,"Assignment
Spotify may assign any or all of these Terms, and may assign or delegate, in whole or in part, any of its rights or obligations under these Terms. You may not assign these Terms, in whole or in part, nor transfer or sub-license your rights under these Terms, to any third party.",none,NONE,none,LOW,"This clause is low-risk and outside the main categories because it lets Spotify assign the agreement while restricting the user's ability to transfer rights, creating some imbalance but not a primary annotation class.",,
spotify_tos_028,spotify_tos.txt,"Price Changes
Spotify may from time to time change the price for the Paid Subscriptions, including recurring subscription fees, and will communicate any price changes to you in advance on reasonable notice. Subject to applicable law, by continuing to use the Spotify Service after the price change takes effect, you will have accepted the new price. We do not provide refunds or credits for any partial subscription periods, except as expressly stated in these Terms.",none,NONE,liability_limitation,MEDIUM,This clause is medium-risk liability_limitation language because Spotify can raise recurring subscription prices and denies refunds or credits for partial subscription periods.,,
