clause_id,source_document,clause_text,suggested_category,suggested_risk,category,risk_level,annotator_notes,confidence,matched_keywords
amazon_tos_001,amazon_tos.txt,"Amazon.ca Conditions of Use
Last updated: November 18, 2025",none,NONE,none,NONE,"This is only the document title and update date, so it does not create a substantive privacy, content, liability, or dispute-resolution risk.",,
amazon_tos_002,amazon_tos.txt,"User Content License
If you do post content or submit material, and unless we indicate otherwise, you grant Amazon a non-exclusive, royalty-free, perpetual, irrevocable, and fully sublicencable right to use, reproduce, modify, adapt, publish, perform, translate, create derivative works from, distribute and display such content throughout the world in any media. You grant Amazon and sublicencees the right to use the name that you submit in connection with such content, if they choose. You will indemnify Amazon for all claims resulting from content you supply. Amazon has the right but not the obligation to monitor and edit or remove any activity or content.",content_rights,HIGH,content_rights,HIGH,"This clause is content_rights because it grants Amazon a perpetual, irrevocable, sublicensable worldwide license over user-submitted content and lets it use the user's name with that content. The risk is high because the rights are extremely broad and difficult for the user to revoke.",0.373,"perpetual, irrevocable"
amazon_tos_003,amazon_tos.txt,"Licence and Access
Amazon grants you a limited, non-exclusive, non-transferable, non-sublicensable licence to access and make personal and non-commercial use of the Amazon Services. You will not, and will not allow any third party to, use AI-generated content from the Amazon Services to, directly or indirectly, develop or improve large language or multimodal models, machine learning models or related technology.",none,NONE,none,NONE,"This clause mainly defines the user's limited licence to access Amazon's services and restricts model-training uses, which does not closely fit the project's annotation categories.",,
amazon_tos_004,amazon_tos.txt,"Disclaimer of Warranties and Limitation of Liability
THE AMAZON SERVICES AND ALL INFORMATION, CONTENT, MATERIALS, PRODUCTS AND OTHER SERVICES ARE PROVIDED BY AMAZON ON AN ""AS IS"" AND ""AS AVAILABLE"" BASIS, UNLESS OTHERWISE SPECIFIED IN WRITING. AMAZON MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND, EXPRESS OR IMPLIED, AS TO THE OPERATION OF THE AMAZON SERVICES, UNLESS OTHERWISE SPECIFIED IN WRITING. YOU EXPRESSLY AGREE THAT YOUR USE OF THE AMAZON SERVICES IS AT YOUR SOLE RISK.",liability_limitation,LOW,liability_limitation,LOW,"This clause is liability_limitation because Amazon provides services on an 'as is' and 'as available' basis and places the risk of use on the customer. The risk is low to medium in impact, but lower than the harsher exclusion clauses because it is a general warranty disclaimer.",0.493,limitation of liability
amazon_tos_005,amazon_tos.txt,"TO THE FULL EXTENT PERMISSIBLE BY LAW, AMAZON DISCLAIMS ALL WARRANTIES AND CONDITIONS, EXPRESS OR IMPLIED, INCLUDING, BUT NOT LIMITED TO, IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE. TO THE FULL EXTENT PERMISSIBLE BY LAW, AMAZON WILL NOT BE LIABLE FOR ANY DAMAGES OF ANY KIND ARISING FROM THE USE OF ANY AMAZON SERVICE, INCLUDING BUT NOT LIMITED TO DIRECT, INDIRECT, INCIDENTAL, PUNITIVE, AND CONSEQUENTIAL DAMAGES, UNLESS OTHERWISE SPECIFIED IN WRITING.",liability_limitation,HIGH,liability_limitation,HIGH,This clause is liability_limitation because Amazon disclaims broad warranties and excludes liability for many categories of damages. The risk is high because it substantially limits user remedies if the service causes harm.,0.867,"not liable for any damages, will not be liable for"
amazon_tos_006,amazon_tos.txt,"Disputes and Arbitration
Any dispute or claim relating in any way to your use of any Amazon Service will be resolved by binding arbitration, rather than in court, except that you may assert claims in small claims court if your claims qualify.",arbitration,HIGH,arbitration,HIGH,This clause is arbitration because Amazon requires most disputes to be resolved through binding arbitration instead of court. The risk is high because it reduces access to traditional litigation and often favors lower-transparency dispute resolution.,0.373,binding arbitration
amazon_tos_007,amazon_tos.txt,"There is no judge or jury in arbitration, and court review of an arbitration award is limited. However, an arbitrator can award on an individual basis the same damages and relief as a court including injunctive and declaratory relief or statutory damages, and must follow the terms of these Conditions of Use as a court would.",arbitration,HIGH,arbitration,HIGH,This clause is arbitration because it explains that arbitration lacks a judge or jury and that court review is limited. The risk is high because it highlights procedural constraints that narrow the user's litigation options.,0.733,arbitrator can award on an individual basis the same damages
amazon_tos_008,amazon_tos.txt,"We each agree that any dispute resolution proceedings will be conducted only on an individual basis and not in a class, consolidated or representative action. If for any reason a claim proceeds in court rather than in arbitration we each waive any right to a jury trial.",arbitration,HIGH,arbitration,HIGH,This clause is arbitration because it requires disputes to proceed only individually and waives class actions and jury trials. The risk is high because it significantly weakens collective legal remedies.,0.867,"waive right to jury, waive any right to a jury"
amazon_tos_009,amazon_tos.txt,"Product Descriptions
Amazon does not warrant that product descriptions or other content of any Amazon Service is accurate, complete, reliable, current, or error-free. If a product offered by Amazon itself is not as described, your sole remedy is to return it in unused condition unless an applicable law in your province of residence gives you the right to other remedies.",liability_limitation,HIGH,liability_limitation,HIGH,This clause is liability_limitation because Amazon disclaims responsibility for inaccurate product descriptions and limits the customer's remedy to returning the product. The risk is high because it narrows relief even when descriptions are misleading.,0.493,your sole remedy
amazon_tos_010,amazon_tos.txt,"Amazon reserves the right to refuse service, terminate accounts, terminate your rights to use Amazon Services, remove or edit content, or cancel orders in its sole discretion.",none,NONE,none,NONE,"This clause gives Amazon broad rights to refuse service, terminate accounts, remove content, or cancel orders, but it does not cleanly fit the project's defined annotation categories.",,
amazon_tos_011,amazon_tos.txt,"Other Businesses
Parties other than Amazon operate stores, provide services or software, or sell product lines through the Amazon Services. Amazon does not assume any responsibility or liability for the actions, product, and content of all these and any other third parties.",third_party_access,MEDIUM,third_party_access,MEDIUM,"This clause is third_party_access because third parties operate stores, provide services, or sell products through Amazon's platform. The risk is medium because users may interact with outside entities whose actions and content Amazon does not fully control.",0.733,"parties other than amazon operate stores, provide services"
amazon_tos_012,amazon_tos.txt,"Applicable Law
By using any Amazon Service, you agree that the U.S. Federal Arbitration Act, applicable U.S. federal law, and the laws of the state of Washington, United States, without regard to principles of conflict of laws, will govern these Conditions of Use and any dispute of any sort that might arise between you and Amazon.",arbitration,MEDIUM,arbitration,MEDIUM,This clause is arbitration because it chooses the Federal Arbitration Act and Washington law to govern disputes. The risk is medium because the governing-law selection can shape user rights and reinforce Amazon's dispute-resolution framework.,0.493,federal arbitration act
amazon_tos_013,amazon_tos.txt,"Updates and Modifications
We reserve the right to make changes to our site, policies, Service Terms, and these Conditions of Use at any time. We may offer automatic or manual updates to the Amazon Software at any time and without notice to you.",none,NONE,none,NONE,"This clause concerns Amazon's ability to change site terms, software, and policies at any time, which is important contractually but does not fit the project's target labels closely enough.",,
