clause_id,source_document,clause_text,suggested_category,suggested_risk,category,risk_level,annotator_notes,confidence,matched_keywords
microsoft_tos_001,microsoft_tos.txt,"Microsoft Services Agreement
Published: July 30, 2025 | Effective: September 30, 2025",none,NONE,none,NONE,"This row is only the agreement title and effective date, so it does not contain a substantive clause that fits any risk category.",,
microsoft_tos_002,microsoft_tos.txt,"Your Content License
To the extent necessary to provide the Services to you and others, to protect you and the Services, and to improve Microsoft products and services, you grant to Microsoft a worldwide and royalty-free intellectual property license to use Your Content, for example, to make copies of, retain, transmit, reformat, display, and distribute via communication tools Your Content on the Services. If you publish Your Content in areas of the Service where it is available broadly online without restrictions, Your Content may appear in demonstrations or materials that promote the Service.",none,NONE,content_rights,HIGH,"This clause gives Microsoft a broad worldwide, royalty-free license to copy, retain, transmit, display, distribute, and use user content to provide, protect, and improve services, which is a major transfer of content-use rights.",,
microsoft_tos_003,microsoft_tos.txt,"Feedback. If you give to Microsoft any idea, proposal, suggestion or feedback, you give to Microsoft, without charge, royalties or other obligation to you, the right to make, have made, create derivative works, use, share and commercialize your Feedback in any way and for any purpose.",none,NONE,content_rights,MEDIUM,"This clause allows Microsoft to use, commercialize, and create derivative works from user feedback without compensation or obligation, which is a meaningful but narrower content-rights transfer.",,
microsoft_tos_004,microsoft_tos.txt,"AI Services Content License. As part of providing the AI services, Microsoft will process and store your inputs to the service as well as output from the service, for purposes of monitoring for and preventing abusive or harmful uses or outputs of the service. Microsoft doesn't claim ownership of any content you provide, post, input, or submit to, or receive from, the AI services.",none,NONE,data_retention,MEDIUM,"This clause states that Microsoft will process and store AI inputs and outputs for abuse monitoring and prevention, which is a clear retention practice with moderate privacy implications.",,
microsoft_tos_005,microsoft_tos.txt,"Limits on AI Data Use. You may not use the AI services, or data from the AI services, to create, train, or improve directly or indirectly any AI technology. You may not use the AI services to discover any underlying components of the models, algorithms, and systems.",content_rights,HIGH,none,NONE,"This clause restricts how the user may use AI service outputs to build competing AI systems, but it does not describe a user-risk clause that fits the annotation categories.",0.733,"data from the ai services, to create, train, or improve"
microsoft_tos_006,microsoft_tos.txt,"Work or School Accounts. If you sign into certain Microsoft services with a work or school email address, you agree that the owner of the domain associated with your email address may be notified of the existence of your Microsoft account and its associated subscriptions, control and administer your account, and access and process your Data, including the contents of your communications and files, and that Microsoft may notify the owner of the domain if the account or Data is compromised.",third_party_access,MEDIUM,third_party_access,HIGH,"This clause allows the owner of a work or school domain to control the account and access and process the user's data, communications, and files, which is significant third-party access.",0.733,owner of the domain associated with your email address may
microsoft_tos_007,microsoft_tos.txt,"Service Availability
We strive to keep the Services up and running; however, all online services suffer occasional disruptions and outages, and Microsoft is not liable for any disruption or loss you may suffer as a result. In the event of an outage, you may not be able to retrieve Your Content or Data that you've stored. We recommend that you regularly backup Your Content and Data that you store on the Services or store using Third-Party Apps and Services.",liability_limitation,HIGH,liability_limitation,HIGH,"This clause disclaims liability for service disruptions and warns that stored content may become unavailable, which substantially limits user remedies for outages or data loss.",0.733,not liable for any loss
microsoft_tos_008,microsoft_tos.txt,"We may change these Terms at any time, and we'll tell you when we do. Using the Services after the changes become effective means you agree to the new terms.",none,NONE,none,NONE,"This clause says Microsoft may change the terms with notice, but it does not fit the defined categories such as data handling, arbitration, or content rights.",,
microsoft_tos_009,microsoft_tos.txt,"We may automatically check your version of the software and download software updates or configuration changes. There may be times when we need to remove or change features or functionality of the Service or stop providing a Service or access to Third-Party Apps and Services altogether. Except to the extent required by applicable law, we have no obligation to provide a re-download or replacement of any material, Digital Goods, or applications previously purchased.",none,NONE,none,NONE,"This clause covers automatic updates, service changes, and discontinued access, but it does not map cleanly to one of the allowed annotation categories.",,
microsoft_tos_010,microsoft_tos.txt,"Xbox Services Data Sharing. When you sign up to receive Xbox Services, information about your game play, activities and usage of games and Xbox Services will be tracked and shared with applicable third parties, including game developers and publishers, in order for Microsoft to deliver the Xbox Services and for the third parties to operate non-Microsoft games and services.",none,NONE,data_sharing,HIGH,"This clause says gameplay, activities, and usage data will be tracked and shared with third parties such as developers and publishers, which is direct data sharing with meaningful privacy impact.",,
