clause_id,source_document,clause_text,suggested_category,suggested_risk,category,risk_level,annotator_notes,confidence,matched_keywords
linkedin_tos_001,linkedin_tos.txt,"LinkedIn User Agreement
Effective on November 3, 2025",none,NONE,none,NONE,"This is only the agreement title and effective date, so it does not create a substantive privacy, content, liability, or dispute-resolution risk.",,
linkedin_tos_002,linkedin_tos.txt,"Content License to LinkedIn
You own all of your original content that you provide to us, but you also grant us a non-exclusive license to it.",content_rights,MEDIUM,content_rights,MEDIUM,This clause is content_rights because the user must license their content to LinkedIn in order to use the service. The risk is medium because LinkedIn gets reuse rights over user content even though ownership formally stays with the user.,0.8,"grant us a license, you grant a license, non-exclusive license"
linkedin_tos_003,linkedin_tos.txt,"You grant LinkedIn and our Affiliates the following non-exclusive license to the content and other information you provide to our Services: A worldwide, transferable and sublicensable right to use, copy, modify, distribute, publicly perform and display, host, and process your content and other information without any further consent, notice and/or compensation to you or others.",content_rights,HIGH,content_rights,HIGH,"This clause is content_rights because it gives LinkedIn and its affiliates a very broad worldwide, transferable, sublicensable license to use, modify, distribute, and display user content. The risk is high because the rights are extensive and can be exercised without further consent, notice, or compensation.",0.613,without compensation to you
linkedin_tos_004,linkedin_tos.txt,"You can end this license for specific content by deleting such content from the Services, or generally by closing your account, except to the extent you shared it with others as part of the Services and they copied, re-shared it or stored it, we had already sublicensed others prior to your content removal or closing of your account, or we are required by law to retain or share it with others.",none,NONE,content_rights,MEDIUM,"This clause is content_rights because it explains that LinkedIn's license can survive deletion in several cases, such as prior sharing, sublicensing, or legal obligations. The risk is medium because users may not fully regain control over content even after removing it or closing the account.",,
linkedin_tos_005,linkedin_tos.txt,"By submitting suggestions or other feedback regarding our Services to LinkedIn, you agree that LinkedIn can use and share such feedback for any purpose without compensation to you.",none,NONE,content_rights,MEDIUM,This clause is content_rights because it lets LinkedIn freely use and share submitted feedback for any purpose. The risk is medium because users give up control over ideas or suggestions without any compensation.,,
linkedin_tos_006,linkedin_tos.txt,"Recommendations and Automated Processing
We use data and other information about you to make and order relevant suggestions and to generate content for you and others. We use the data and other information that you provide and that we have about Members and content on the Services to make recommendations for connections, content, ads, and features that may be useful to you. For example, that data and information may be used to recommend jobs to you and you to recruiters and to organize content in your feed.",none,NONE,tracking_profiling,MEDIUM,"This clause is tracking_profiling because LinkedIn uses user data to generate recommendations, rank content, and target ads or job suggestions. The risk is medium because it relies on behavioral and profile-based inference to shape what users and recruiters see.",,
linkedin_tos_007,linkedin_tos.txt,"Disclaimer and Limit of Liability
LINKEDIN AND ITS AFFILIATES MAKE NO REPRESENTATION OR WARRANTY ABOUT THE SERVICES, INCLUDING ANY REPRESENTATION THAT THE SERVICES WILL BE UNINTERRUPTED OR ERROR-FREE, AND PROVIDE THE SERVICES ON AN ""AS IS"" AND ""AS AVAILABLE"" BASIS. TO THE FULLEST EXTENT PERMITTED UNDER APPLICABLE LAW, LINKEDIN AND ITS AFFILIATES DISCLAIM ANY IMPLIED OR STATUTORY WARRANTY, INCLUDING ANY IMPLIED WARRANTY OF TITLE, ACCURACY, NON-INFRINGEMENT, MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE.",liability_limitation,HIGH,liability_limitation,HIGH,"This clause is liability_limitation because LinkedIn broadly disclaims warranties and provides the service on an 'as is' and 'as available' basis. The risk is high because it significantly reduces the company's responsibility if the service is inaccurate, unavailable, or harmful.",0.687,"fullest extent permitted, to the fullest extent"
linkedin_tos_008,linkedin_tos.txt,"TO THE FULLEST EXTENT PERMITTED BY LAW, LINKEDIN AND ITS AFFILIATES, WILL NOT BE LIABLE IN CONNECTION WITH THIS CONTRACT FOR LOST PROFITS OR LOST BUSINESS OPPORTUNITIES, REPUTATION, LOSS OF DATA OR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL OR PUNITIVE DAMAGES.",liability_limitation,HIGH,liability_limitation,HIGH,"This clause is liability_limitation because LinkedIn excludes liability for lost profits, data loss, reputational harm, and other indirect or consequential damages. The risk is high because it sharply limits the user's ability to recover for serious harms.",0.88,"will not be liable for, fullest extent permitted, to the fullest extent"
linkedin_tos_009,linkedin_tos.txt,"LINKEDIN AND ITS AFFILIATES WILL NOT BE LIABLE TO YOU IN CONNECTION WITH THIS CONTRACT FOR ANY AMOUNT THAT EXCEEDS (A) THE TOTAL FEES PAID OR PAYABLE BY YOU TO LINKEDIN FOR THE SERVICES DURING THE TERM OF THIS CONTRACT, IF ANY, OR (B) US $1000.",liability_limitation,HIGH,liability_limitation,HIGH,This clause is liability_limitation because it caps LinkedIn's financial exposure to fees paid or US $1000. The risk is high because the cap may be far below the actual harm suffered by a user.,0.373,us $1000
linkedin_tos_010,linkedin_tos.txt,"Termination
Both you and LinkedIn may terminate this Contract at any time with notice to the other. On termination, you lose the right to access or use the Services. LinkedIn may assign this Contract to its affiliates or a party that buys it without your consent.",none,NONE,none,NONE,"This clause mainly covers termination rights and contract assignment, which do not fit the project's risk categories closely enough to label here.",,
