clause_id,source_document,clause_text,suggested_category,suggested_risk,category,risk_level,annotator_notes,confidence,matched_keywords
google_tos_001,google_tos.txt,"Google Terms of Service
Effective May 22, 2024 | Country version: Canada",none,NONE,none,NONE,"This row is only the document title and effective date, so it does not describe a user-risk clause that fits any annotation category.",,
google_tos_002,google_tos.txt,"Content License to Google
Your content remains yours, which means that you retain any intellectual property rights that you have in your content.",none,NONE,none,NONE,"This clause says the user keeps ownership of their content, which is protective language rather than a harmful content-rights transfer.",,
google_tos_003,google_tos.txt,We need your permission if your intellectual property rights restrict our use of your content. You provide Google with that permission through this license.,none,NONE,content_rights,MEDIUM,"This clause requires the user to grant Google permission to use content where intellectual property rights would otherwise restrict that use, so it creates a meaningful content-rights transfer.",,
google_tos_004,google_tos.txt,"This license is worldwide, non-exclusive, royalty-free. This license allows Google to host, reproduce, distribute, communicate, and use your content; publish, publicly perform, or publicly display your content if you've made it visible to others; modify and create derivative works based on your content such as reformatting or translating it; sublicense these rights to other users to allow the services to work as designed, and to our contractors who've signed agreements with us consistent with these terms, only for the limited purposes described below.",content_rights,MEDIUM,content_rights,HIGH,"This clause gives Google a broad worldwide, royalty-free license to use, modify, display, and sublicense user content, which significantly reduces the user's exclusive control over that content.",0.613,derivative works based on
google_tos_005,google_tos.txt,"This license is for the limited purpose of operating and improving the services, which means allowing the services to work as designed and creating new features and functionalities. This includes using automated systems and algorithms to analyze your content for spam, malware, and illegal content; to recognize patterns in data; to customize our services for you, such as providing recommendations and personalized search results, content, and ads; using content you've shared publicly to promote the services; and developing new technologies and services for Google consistent with these terms.",none,NONE,tracking_profiling,HIGH,"This clause says Google may use automated systems to analyze content, recognize patterns, and customize recommendations, search results, and ads, which is clear tracking and profiling behavior with meaningful privacy impact.",,
google_tos_006,google_tos.txt,"This license lasts for as long as your content is protected by intellectual property rights. If you remove from our services any content that's covered by this license, then our systems will stop making that content publicly available in a reasonable amount of time.",none,NONE,content_rights,LOW,"This clause extends the content license for as long as intellectual property rights last, but it also says removed content will stop being publicly available in a reasonable time, so the rights impact is limited compared with broader license clauses.",,
google_tos_007,google_tos.txt,"Feedback. If you choose to give us feedback, such as suggestions to improve our services, we may act on your feedback without obligation to you.",tracking_profiling,LOW,content_rights,LOW,"This clause allows Google to use submitted feedback without paying or owing obligations to the user, which is a limited but real transfer of rights in user-submitted ideas.",0.493,improve our services
google_tos_008,google_tos.txt,Using AI-generated content to develop competing models. You may not use using AI-generated content from our services to develop machine learning models or related AI technology. You may not use automated means to access content from any of our services in violation of the machine-readable instructions on our web pages.,none,NONE,none,NONE,"This clause restricts the user's use of Google's AI-generated content but does not describe data handling, legal risk allocation, or content use by Google that fits the project labels.",,
google_tos_009,google_tos.txt,"Service Development and Changes
We're constantly developing new technologies and features to improve our services. We sometimes add or remove features and functionalities, increase or decrease limits to our services, and start offering new services or stop offering old ones. If we make material changes that negatively impact your use of our services or if we stop offering a service, we'll provide you with reasonable advance notice, except in urgent situations such as preventing abuse, responding to legal requirements, or addressing security and operability issues.",tracking_profiling,LOW,none,NONE,"This clause is mainly about service changes and advance notice, not about data use, third-party access, retention, or a rights-reducing legal mechanism in the annotation scheme.",0.493,improve our services
google_tos_010,google_tos.txt,"Settling Disputes
California law will govern all disputes arising out of or relating to these terms, service-specific additional terms, or any related services, regardless of conflict of laws rules. These disputes will be resolved exclusively in the federal or state courts of Santa Clara County, California, USA, and you and Google consent to personal jurisdiction in those courts.",none,NONE,arbitration,MEDIUM,"This clause requires disputes to be governed by California law and heard exclusively in Santa Clara courts, which restricts where and how users can pursue disputes even though it is forum selection rather than formal arbitration.",,
