clause_id,source_document,clause_text,category,risk_level,annotator_notes,confidence,matched_keywords,source
claudette_Tripadvisor_ter3_0,tripadvisor_claudette.txt,"We retain the right at our sole discretion to deny access to anyone to this Website and the services we offer, at any time and for any reason, including, but not limited to, for violation of this Agreement.",data_retention,HIGH,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <ter3>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_ltd2_1,tripadvisor_claudette.txt,"TripAdvisor does not edit or control the User Messages posted to or distributed on this Website including through any chat rooms, bulletin boards or other communications forums, and will not be in any way responsible or liable for such User Messages.",liability_limitation,MEDIUM,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <ltd2>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_cr3_2,tripadvisor_claudette.txt,TripAdvisor nevertheless reserves the right for any reason in its sole discretion to remove without notice any User Messages and/or Site Content.,content_rights,HIGH,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <cr3>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_ltd2_3,tripadvisor_claudette.txt,"TripAdvisor takes no responsibility and assumes no liability for any Content posted, stored or uploaded by you or any third party, or for any loss or damage thereto, nor is TripAdvisor liable for any mistakes, defamation, slander, libel, omissions, falsehoods, obscenity, pornography or profanity you may encounter.",liability_limitation,MEDIUM,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <ltd2>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_cr3_4,tripadvisor_claudette.txt,"Although TripAdvisor has no obligation to screen, edit or monitor any of the Content posted to or distributed through any Interactive Area, TripAdvisor reserves the right, and has absolute discretion, to remove, screen, translate or edit without notice any Content posted or stored on this Website at any time and for any reason, or to have such actions performed by third parties on its behalf, and you are solely responsible for creating backup copies of and replacing any Content you post or store on this Website at your sole cost and expense.",content_rights,HIGH,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <cr3>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_ter2_5,tripadvisor_claudette.txt,"Any use of the Interactive Areas or other portions of this Website in violation of the foregoing violates the terms of this Agreement and may result in, among other things, termination or suspension of your rights to use the Interactive Areas and/or this Website.",data_retention,MEDIUM,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <ter2>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_ter2_6,tripadvisor_claudette.txt,"Any false or fraudulent reservation is prohibited, and any user who attempts such a reservation may have his or her TripAdvisor membership terminated.",data_retention,MEDIUM,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <ter2>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_ltd2_7,tripadvisor_claudette.txt,"AS A USER OF THIS WEBSITE, INCLUDING INSTANT BOOKING, YOU UNDERSTAND AND AGREE THAT: (1) NEITHER TRIPADVISOR NOR ITS AFFILIATES WILL HAVE ANY LIABILITY TO YOU OR OTHERS FOR ANY UNAUTHORIZED TRANSACTIONS MADE USING YOUR PASSWORD OR ACCOUNT; AND (2) THE UNAUTHORIZED USE OF YOUR PASSWORD OR ACCOUNT COULD CAUSE YOU TO INCUR LIABILITY TO BOTH TRIPADVISOR AND OTHER USERS.",liability_limitation,MEDIUM,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <ltd2>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_ltd2_8,tripadvisor_claudette.txt,"TripAdvisor will have no liability with respect to the acts, omissions, errors, representations, warranties, breaches or negligence of any third-party suppliers or for any personal injuries, death, property damage, or other damages or expenses resulting from your interactions with third-party suppliers.",liability_limitation,MEDIUM,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <ltd2>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_ltd2_9,tripadvisor_claudette.txt,THIS SECTION LIMITS TRIPADVISOR'S LIABILITY TO YOU FOR ISSUES THAT MAY ARISE IN CONNECTION WITH YOUR USE OF THIS WEBSITE.,liability_limitation,MEDIUM,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <ltd2>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_ltd2_10,tripadvisor_claudette.txt,NOTHING IN THIS AGREEMENT SHALL EXCLUE OR LIMIT TRIPADVISOR'S LIABILITY FOR (I) DEATH OR PERSONAL INFURY CAUSED BY NEGLIGENCE; (II) FRAUD; (III) FRAUDULENT MISTATEMENT (IV) DELIBERATE BREACH OR GROSS NEGLIGENCE (V) ANY OTHER LIABILITY WHICH CANNOT BE EXCLUDED UNDER APPLICABLE LAW.,liability_limitation,MEDIUM,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <ltd2>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_ltd2_11,tripadvisor_claudette.txt,"THE TRIPADVISOR MEDIA GROUP COMPANIES ARE NOT LIABLE FOR THE ACTS, ERRORS, OMISSIONS, REPRESENTATIONS, WARRANTIES, BREACHES OR NEGLIGENCE OF ANY SUCH SUPPLIERS OR FOR ANY PERSONAL INJURIES, DEATH, PROPERTY DAMAGE, OR OTHER DAMAGES OR EXPENSES RESULTING THEREFROM.",liability_limitation,MEDIUM,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <ltd2>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_ltd2_12,tripadvisor_claudette.txt,"THE TRIPADVISOR MEDIA GROUP COMPANIES HAVE NO LIABILITY AND WILL MAKE NO REFUND IN THE EVENT OF ANY DELAY, CANCELLATION, OVERBOOKING, STRIKE, FORCE MAJEURE OR OTHER CAUSES BEYOND THEIR DIRECT CONTROL, AND THEY HAVE NO RESPONSIBILITY FOR ANY ADDITIONAL EXPENSE, OMISSIONS, DELAYS, RE-ROUTING OR ACTS OF ANY GOVERNMENT OR AUTHORITY.",liability_limitation,MEDIUM,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <ltd2>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_ltd2_13,tripadvisor_claudette.txt,"SUBJECT TO THE FOREGOING, YOU USE THIS WEBSITE AT YOUR OWN RISK AND IN NO EVENT SHALL THE TRIPADVISOR MEDIA GROUP COMPANIES (OR THEIR OFFICERS, DIRECTORS AND AFFILIATES) BE LIABLE FOR ANY DIRECT, INDIRECT, PUNITIVE, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL LOSSSES OR DAMAGES OR ANY LOSS OF INCOME, PROFITS, GOODWILL, DATA, CONTRACTS, USE OF MONEY, OR LOSS OR DAMAGES ARISING FROM OR CONNTECTED IN ANY WAY TO BUSINESS INTERRUPTION OF ANY TYPE ARISING OUT OF, OR IN ANY WAY CONNECTED WITH, YOUR ACCESS TO, DISPLAY OF OR USE OF THIS WEBSITE OR WITH THE DELAY OR INABILITY TO ACCESS, DISPLAY OR USE THIS WEBSITE (INCLUDING, BUT NOT LIMITED TO, YOUR RELIANCE UPON REVIEWS AND OPINIONS APPEARING ON THIS WEBSITE; ANY COMPUTER VIRUSES, INFORMATION, SOFTWARE, LINKED SITES, PRODUCTS, AND SERVICES OBTAINED THROUGH THIS WEBSITE; OR OTHERWISE ARISING OUT OF THE ACCESS TO, DISPLAY OF OR USE OF THIS WEBSITE) WHETHER BASED ON A THEORY OF NEGLIGENCE, CONTRACT, TORT, STRICT LIABILITY, OR OTHERWISE, AND EVEN IF TRIPADVISOR HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",liability_limitation,MEDIUM,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <ltd2>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_ltd2_14,tripadvisor_claudette.txt,"If the TripAdvisor Media Group Companies are found liable for any loss or damage that arises out of or is in any way connected with your use of our sites or services, then the TripAdvisor Media Group Companies' liabilities will in no event exceed, in the aggregate, the greater of (a) the transaction fees paid to TripAdvisor for the transaction(s) on this Website giving rise to the claim, or (b) One-Hundred Dollars (US $100.00).",liability_limitation,MEDIUM,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <ltd2>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_ter3_15,tripadvisor_claudette.txt,"<ch2>TripAdvisor may change, suspend or discontinue any aspect of the TripAdvisor service at any time, including availability of any feature, database or content.</ch2>",data_retention,HIGH,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <ter3>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_ter2_16,tripadvisor_claudette.txt,"<ltd2><ch2>TripAdvisor may also impose limits on certain features and services or restrict your access to all or parts of the Website or any other TripAdvisor web site without notice or liability for technical or security reasons, to prevent against unauthorised access, loss of, or destruction of data or where we consider in our sole discretion that you are in breach of any provision of these Terms and Conditions or of any law or regulation and where it decides to discontinue providing a service.</ch2></ltd2>",data_retention,MEDIUM,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <ter2>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_j3_17,tripadvisor_claudette.txt,"You hereby consent to the exclusive jurisdiction and venue of courts in Massachusetts, USA and stipulate to the fairness and convenience of proceedings in such courts for all disputes arising out of or relating to the use of this Website.",arbitration,HIGH,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <j3>. Expert-annotated.,1.0,,claudette
claudette_Tripadvisor_j3_18,tripadvisor_claudette.txt,You agree that all claims you may have against TripAdvisor arising from or relating to this Website must be heard and resolved in a court of competent subject matter jurisdiction located in the Commonwealth of Massachusetts.,arbitration,HIGH,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <j3>. Expert-annotated.,1.0,,claudette
claudette_Uber_ter3_19,uber_claudette.txt,"Uber may immediately terminate these Terms or any Services with respect to you, or generally cease offering or deny access to the Services or any portion thereof, at any time for any reason.",data_retention,HIGH,CLAUDETTE corpus (Drawzeski et al. 2021). Tag: <ter3>. Expert-annotated.,1.0,,claudette
