clause_id,source_document,clause_text,suggested_category,suggested_risk,category,risk_level,annotator_notes,confidence,matched_keywords
apple_privacy_001,apple_privacy.txt,"Personal Data Apple Collects
Apple collects account information including email address, devices registered, account status, and age.",none,NONE,none,NONE,"This clause only lists basic account data Apple collects and does not itself describe sharing, profiling, retention, dispute, or content-rights behavior within the project's categories.",,
apple_privacy_002,apple_privacy.txt,"Device information includes data from which your device could be identified such as device serial number, or browser type. Contact information includes name, email address, physical address, phone number.",none,NONE,none,NONE,"This clause lists device and contact identifiers Apple may collect, but it does not state that the data is shared, retained unusually, or used for profiling in a way that fits the annotation labels.",,
apple_privacy_003,apple_privacy.txt,"Payment information includes data about your billing address and method of payment, such as bank details, credit, debit, or other payment card information.",none,NONE,none,NONE,"This clause describes payment data collection only, so it does not directly match the project's sharing, retention, profiling, or legal-risk categories.",,
apple_privacy_004,apple_privacy.txt,Transaction information includes data about purchases of Apple products and services or transactions facilitated by Apple.,none,NONE,none,NONE,"This clause refers to transaction information collection and does not by itself create a categorized sharing, profiling, or legal-rights risk.",,
apple_privacy_005,apple_privacy.txt,"Usage data includes data about your activity on and use of our offerings, such as app launches within our services, including browsing history, search history, product interaction, crash data, performance and other diagnostic data.",tracking_profiling,HIGH,tracking_profiling,HIGH,"This clause is tracking_profiling because it covers detailed usage data such as browsing history, search history, app launches, and interactions. The risk is high because these signals can reveal extensive behavioral patterns about the user.",0.373,browsing history
apple_privacy_006,apple_privacy.txt,"Location information includes precise location only to support services such as Find My or where you agree for region-specific services, and coarse location.",tracking_profiling,MEDIUM,tracking_profiling,MEDIUM,"This clause is tracking_profiling because it involves collection and use of coarse and sometimes precise location data to support Apple services. The risk is medium because location data is sensitive, although the clause limits precise collection to specific services or user agreement.",0.373,precise location
apple_privacy_007,apple_privacy.txt,"Health information includes data relating to the health status of an individual, including data related to physical or mental health or condition.",none,NONE,none,NONE,"This clause mentions health information as a data type Apple may collect, but it does not specify a sharing, profiling, retention, or legal-rights practice that fits the annotation categories.",,
apple_privacy_008,apple_privacy.txt,"Financial information includes details including salary, income, and assets information where collected, and information related to Apple-branded financial offerings. Government ID data includes a government-issued ID in limited circumstances.",data_sharing,HIGH,none,NONE,"This clause describes sensitive financial and government ID data Apple may collect, but it is still framed as collection rather than sharing, profiling, or another target category.",0.373,financial information
apple_privacy_009,apple_privacy.txt,"Personal Data Apple Receives from Other Sources
Apple may receive personal data about you from other individuals, from businesses or third parties acting at your direction, from our partners who work with us to provide our products and services and assist us in security and fraud prevention, and from other lawful sources.",none,NONE,third_party_access,MEDIUM,"This clause is third_party_access because Apple may receive personal data about the user from other individuals, partners, businesses, and other lawful sources. The risk is medium because data about a person can enter Apple's systems from external parties beyond the user's direct control.",,
apple_privacy_010,apple_privacy.txt,"To power features such as search and as a source for our foundational AI models, Apple uses Applebot, a web crawler, to crawl information that is publicly available on the internet. We have measures in place to reduce the amount of personal data we collect and make no attempt to connect data crawled to any individual Apple user. Your private personal data is not used to train our foundational AI models.",none,NONE,none,NONE,This clause explains Apple's public-web crawling for AI and notes protections against tying crawled data to Apple users. The risk is none because the clause is framed as a public-data practice with stated privacy safeguards.,,
apple_privacy_011,apple_privacy.txt,"For research and development purposes, we may use datasets such as those that contain images, voices, or other data that could be associated with an identifiable person. When acquiring such datasets, we do so in accordance with applicable law.",none,NONE,none,NONE,"This clause discusses research datasets that may contain identifiable information, but it does not clearly map to sharing, retention, profiling, or legal-rights behavior under the annotation scheme.",,
apple_privacy_012,apple_privacy.txt,"Apple's Use of Personal Data
Apple uses personal data to power our services, to process your transactions, to communicate with you, for security and fraud prevention, and to comply with law.",none,NONE,none,NONE,"This clause gives broad service and compliance purposes for using personal data, but it is too general to classify into one of the project's narrower risk categories.",,
apple_privacy_013,apple_privacy.txt,"Apple collects personal data necessary to power our services, which may include personal data collected to improve our offerings, for internal purposes such as auditing or data analysis, or for troubleshooting. For example, if you would like to access a song through an Apple Music subscription, we collect data on what songs you play in order to provide you with the content requested and for royalty purposes.",none,NONE,tracking_profiling,LOW,"This clause is tracking_profiling because Apple uses listening and service-usage data to provide content and conduct internal analysis. The risk is low because the example is mainly operational, but it still relies on behavioral data about what the user does.",,
apple_privacy_014,apple_privacy.txt,"To respond to communications, reach out to you about your transactions or account, market our products and services, provide other relevant information, or request information or feedback.",none,NONE,none,NONE,"This clause describes communications and marketing outreach, which by itself does not fit the project's defined labels as clearly as sharing, profiling, retention, or legal-rights clauses do.",,
apple_privacy_015,apple_privacy.txt,Apple does not use algorithms or profiling to make any decision that would significantly affect you without the opportunity for human review.,none,NONE,none,NONE,"This clause states that Apple does not use profiling for significant decisions without human review, so it is a protective statement rather than a risk clause.",,
apple_privacy_016,apple_privacy.txt,"Apple retains personal data only for so long as necessary to fulfill the purposes for which it was collected, including as described in this Privacy Policy or in our service-specific privacy notices, or as required by law. When assessing retention periods, we first carefully examine whether it is necessary to retain the personal data collected and, if retention is required, work to retain the personal data for the shortest possible period permissible under law.",none,NONE,data_retention,LOW,This clause is data_retention because it expressly explains how long Apple keeps personal data and says it aims to retain it only as long as necessary. The risk is low because the language emphasizes minimization and shortest feasible retention.,,
apple_privacy_017,apple_privacy.txt,"Apple's Sharing of Personal Data
Apple may share personal data with Apple-affiliated companies, service providers who act on our behalf, our partners, developers, and publishers, or others at your direction. Further, Apple does not share personal data with third parties for their own marketing purposes.",data_sharing,MEDIUM,data_sharing,MEDIUM,"This clause is data_sharing because Apple may share personal data with affiliates, service providers, partners, developers, publishers, and others at the user's direction. The risk is medium because data can move across multiple entities, even though Apple says it does not share for third-party marketing.",0.687,"share with third parties, share personal data"
apple_privacy_018,apple_privacy.txt,Apple service providers are obligated to handle personal data consistent with this Privacy Policy and according to our instructions. They cannot use the personal data we share for their own purposes and must delete or return the personal data once they've fulfilled our request.,none,NONE,third_party_access,LOW,This clause is third_party_access because Apple service providers can handle personal data on Apple's behalf. The risk is low because the clause imposes strong restrictions on those providers and requires deletion or return after the work is done.,,
apple_privacy_019,apple_privacy.txt,"Apple may also disclose information about you if we determine that for purposes of national security, law enforcement, or other issues of public importance, disclosure is necessary or appropriate. We may also disclose information about you in the event of a reorganization, merger, or sale.",third_party_access,HIGH,third_party_access,HIGH,"This clause is third_party_access because Apple may disclose user information to law enforcement, for national security, public-importance reasons, or in a corporate transaction. The risk is high because outside authorities or successor entities may gain access without the user's direct control.",0.373,national security
apple_privacy_020,apple_privacy.txt,"Cookies and Other Technologies
Apple's websites, online services, interactive applications, and advertisements may use cookies and other technologies such as web beacons. These technologies help us to better understand user behavior including for security and fraud prevention purposes, tell us which parts of our websites people have visited, and facilitate and measure the effectiveness of advertisements and web searches.",tracking_profiling,MEDIUM,tracking_profiling,MEDIUM,"This clause is tracking_profiling because Apple uses cookies, web beacons, and similar technologies to understand behavior and measure ads and searches. The risk is medium because these technologies can monitor browsing patterns and support advertising or analytics functions.",0.373,web beacons
apple_privacy_021,apple_privacy.txt,"Apple's advertising platform does not track you, meaning that it does not link user or device data collected from our apps with user or device data collected from third parties for targeted advertising or advertising measurement purposes, and does not share user or device data with data brokers.",data_sharing,HIGH,none,NONE,"This clause says Apple's advertising platform does not track users across third parties or share data with brokers, so it is a protective limitation rather than a harmful sharing or profiling clause.",0.373,data broker
apple_privacy_022,apple_privacy.txt,"Transfer of Personal Data Between Countries
Your personal data may be transferred to or accessed by entities around the world, including Apple-affiliated companies, to perform processing activities such as those described in this Privacy Policy in connection with your use of our products and services. Apple complies with laws on the transfer of personal data between countries to help ensure your data is protected, wherever it may be.",none,NONE,data_sharing,MEDIUM,This clause is data_sharing because personal data may be transferred to or accessed by Apple-affiliated entities around the world for processing. The risk is medium because cross-border internal data flows expand where user data may be handled.,,
apple_privacy_023,apple_privacy.txt,"Personal data relating to individuals in the European Economic Area, the United Kingdom, and Switzerland is controlled by Apple Distribution International Limited in Ireland.",none,NONE,none,NONE,"This clause only identifies the Apple entity that controls data for certain regions and does not itself create a substantive sharing, profiling, retention, or legal-rights risk.",,
