clause_id,source_document,clause_text,suggested_category,suggested_risk,category,risk_level,annotator_notes,confidence,matched_keywords
apple_tos_001,apple_tos.txt,"Apple Media Services Terms and Conditions
Last Updated: September 15, 2025",none,NONE,none,NONE,"This row is only the document title and update date, so it does not contain a substantive clause that fits any risk category.",,
apple_tos_002,apple_tos.txt,"Content Submissions License
Except to the extent prohibited by law, you hereby grant Apple a worldwide, royalty-free, perpetual, nonexclusive license to use the materials you submit within the Services and related marketing as well as to use the materials you submit for Apple internal purposes.",content_rights,MEDIUM,content_rights,HIGH,"This clause grants Apple a worldwide, royalty-free, perpetual license over materials the user submits, including marketing and internal uses, which is a broad transfer of content-use rights.",0.613,you grant a license
apple_tos_003,apple_tos.txt,"No Warranty - Licensed Application
YOU EXPRESSLY ACKNOWLEDGE AND AGREE THAT USE OF THE LICENSED APPLICATION IS AT YOUR SOLE RISK.",none,NONE,liability_limitation,MEDIUM,"This clause places the risk of using the application entirely on the user, which functions as a liability disclaimer even though it does not mention damages directly.",,
apple_tos_004,apple_tos.txt,"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, THE LICENSED APPLICATION AND ANY SERVICES PERFORMED OR PROVIDED BY THE LICENSED APPLICATION ARE PROVIDED ""AS IS"" AND ""AS AVAILABLE,"" WITH ALL FAULTS AND WITHOUT WARRANTY OF ANY KIND, AND LICENSOR HEREBY DISCLAIMS ALL WARRANTIES AND CONDITIONS WITH RESPECT TO THE LICENSED APPLICATION AND ANY SERVICES, EITHER EXPRESS, IMPLIED, OR STATUTORY, INCLUDING, BUT NOT LIMITED TO, THE IMPLIED WARRANTIES AND/OR CONDITIONS OF MERCHANTABILITY, OF SATISFACTORY QUALITY, OF FITNESS FOR A PARTICULAR PURPOSE, OF ACCURACY, OF QUIET ENJOYMENT, AND OF NONINFRINGEMENT OF THIRD-PARTY RIGHTS.",liability_limitation,MEDIUM,liability_limitation,HIGH,"This is a broad 'as is' warranty disclaimer that removes implied warranties and shifts product and service risk to the user, which materially limits Apple's and the licensor's responsibility.",0.447,"without warranty, merchantability"
apple_tos_005,apple_tos.txt,NO ORAL OR WRITTEN INFORMATION OR ADVICE GIVEN BY LICENSOR OR ITS AUTHORIZED REPRESENTATIVE SHALL CREATE A WARRANTY.,none,NONE,liability_limitation,LOW,"This clause prevents users from relying on oral or written statements as warranties, which narrows the company's obligations but is less severe than a full damages waiver.",,
apple_tos_006,apple_tos.txt,"SHOULD THE LICENSED APPLICATION OR SERVICES PROVE DEFECTIVE, YOU ASSUME THE ENTIRE COST OF ALL NECESSARY SERVICING, REPAIR, OR CORRECTION.",none,NONE,liability_limitation,MEDIUM,"This clause makes the user bear the full cost of servicing, repair, or correction if the application or services are defective, shifting financial responsibility away from the provider.",,
apple_tos_007,apple_tos.txt,"Limitation of Liability - App License
TO THE EXTENT NOT PROHIBITED BY LAW, IN NO EVENT SHALL LICENSOR BE LIABLE FOR PERSONAL INJURY OR ANY INCIDENTAL, SPECIAL, INDIRECT, OR CONSEQUENTIAL DAMAGES WHATSOEVER, INCLUDING, WITHOUT LIMITATION, DAMAGES FOR LOSS OF PROFITS, CORRUPTION OR LOSS OF DATA, FAILURE TO TRANSMIT OR RECEIVE ANY DATA, BUSINESS INTERRUPTION, OR ANY OTHER COMMERCIAL DAMAGES OR LOSSES, ARISING OUT OF OR RELATED TO YOUR USE OF OR INABILITY TO USE THE LICENSED APPLICATION, HOWEVER CAUSED, REGARDLESS OF THE THEORY OF LIABILITY AND EVEN IF LICENSOR HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",liability_limitation,HIGH,liability_limitation,HIGH,"This clause broadly excludes liability for personal injury, data loss, business interruption, and other consequential damages, creating a strong limitation on user remedies.",0.613,in no event shall
apple_tos_008,apple_tos.txt,In no event shall Licensor's total liability to you for all damages exceed the amount of two hundred and fifty dollars ($250.00).,liability_limitation,HIGH,liability_limitation,HIGH,"This clause caps total damages at $250, which sharply restricts the amount a user can recover even if they suffer a larger loss.",0.613,in no event shall
apple_tos_009,apple_tos.txt,The foregoing limitations will apply even if the above stated remedy fails of its essential purpose.,none,NONE,liability_limitation,MEDIUM,"This clause says the liability limits still apply even if the stated remedy fails, reinforcing the company's protection against user claims.",,
apple_tos_010,apple_tos.txt,"Disclaimer of Warranties - Services
APPLE DOES NOT GUARANTEE, REPRESENT, OR WARRANT THAT YOUR USE OF THE SERVICES WILL BE UNINTERRUPTED OR ERROR-FREE, AND YOU AGREE THAT FROM TIME TO TIME APPLE MAY REMOVE THE SERVICES FOR INDEFINITE PERIODS OF TIME, CANCEL THE SERVICES AT ANY TIME, OR OTHERWISE LIMIT OR DISABLE YOUR ACCESS TO THE SERVICES WITHOUT NOTICE TO YOU.",none,NONE,liability_limitation,MEDIUM,"This clause lets Apple interrupt, cancel, limit, or disable access without guaranteeing continuous service, reducing accountability for service availability.",,
apple_tos_011,apple_tos.txt,"YOU EXPRESSLY AGREE THAT YOUR USE OF, OR INABILITY TO USE, OR ACTIVITY IN CONNECTION WITH THE SERVICES IS AT YOUR SOLE RISK. THE SERVICES AND ALL CONTENT DELIVERED TO YOU THROUGH THE SERVICES ARE PROVIDED ""AS IS"" AND ""AS AVAILABLE"" FOR YOUR USE, WITHOUT WARRANTIES OF ANY KIND, EITHER EXPRESS OR IMPLIED, INCLUDING ALL IMPLIED WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE, AND NONINFRINGEMENT.",liability_limitation,MEDIUM,liability_limitation,HIGH,"This clause states the services and content are provided 'as is' and at the user's sole risk, disclaiming important warranties and limiting Apple's responsibility for service problems.",0.253,merchantability
apple_tos_012,apple_tos.txt,"YOU AGREE THAT UNLESS REQUIRED BY APPLICABLE LAW, APPLE HAS NO RESPONSIBILITY TO CONTINUE MAKING CONTENT AVAILABLE TO YOU THROUGH OUR SERVICES, AND APPLE WILL NOT BE LIABLE TO YOU IF CONTENT, INCLUDING PURCHASED CONTENT, BECOMES UNAVAILABLE FOR DOWNLOAD, REDOWNLOAD, OR STREAMING.",none,NONE,liability_limitation,HIGH,"This clause says Apple does not have to keep content available and will not be liable if even purchased content becomes unavailable, which significantly limits user recourse.",,
apple_tos_013,apple_tos.txt,"IN NO CASE SHALL APPLE, ITS DIRECTORS, OFFICERS, EMPLOYEES, AFFILIATES, AGENTS, CONTRACTORS, OR LICENSORS BE LIABLE FOR ANY DIRECT, INDIRECT, INCIDENTAL, PUNITIVE, SPECIAL, OR CONSEQUENTIAL DAMAGES ARISING FROM YOUR USE OF ANY OF THE SERVICES OR FOR ANY OTHER CLAIM RELATED IN ANY WAY TO YOUR USE OF THE SERVICES AND/OR CONTENT, EVEN IF ADVISED OF THEIR POSSIBILITY.",none,NONE,liability_limitation,HIGH,"This clause broadly disclaims liability for nearly all categories of damages related to using the services or content, which strongly limits legal remedies.",,
apple_tos_014,apple_tos.txt,"APPLE SHALL USE REASONABLE EFFORTS TO PROTECT INFORMATION SUBMITTED BY YOU IN CONNECTION WITH THE SERVICES, BUT YOU AGREE THAT YOUR SUBMISSION OF SUCH INFORMATION IS AT YOUR SOLE RISK, AND YOU HEREBY RELEASE APPLE FROM ANY AND ALL LIABILITY TO YOU FOR ANY LOSS OR LIABILITY RELATING TO SUCH INFORMATION IN ANY WAY.",none,NONE,liability_limitation,HIGH,"This clause says users submit information at their own risk and releases Apple from liability for losses relating to that information, which is a strong disclaimer of responsibility.",,
apple_tos_015,apple_tos.txt,"APPLE DOES NOT REPRESENT OR GUARANTEE THAT THE SERVICES WILL BE FREE FROM LOSS, CORRUPTION, ATTACK, VIRUSES, INTERFERENCE, HACKING, OR OTHER SECURITY INTRUSION, AND YOU HEREBY RELEASE APPLE FROM ANY LIABILITY RELATING THERETO.",none,NONE,liability_limitation,HIGH,"This clause disclaims liability for security incidents such as loss, corruption, hacking, and viruses, which is a significant limitation given the potential seriousness of those harms.",,
apple_tos_016,apple_tos.txt,"Waiver and Indemnity
BY USING THE SERVICES, YOU AGREE, TO THE EXTENT PERMITTED BY LAW, TO INDEMNIFY AND HOLD APPLE, ITS DIRECTORS, OFFICERS, EMPLOYEES, AFFILIATES, AGENTS, CONTRACTORS, AND LICENSORS HARMLESS WITH RESPECT TO ANY CLAIMS ARISING OUT OF YOUR BREACH OF THIS AGREEMENT, YOUR USE OF THE SERVICES, OR ANY ACTION TAKEN BY APPLE AS PART OF ITS INVESTIGATION OF A SUSPECTED VIOLATION OF THIS AGREEMENT OR AS A RESULT OF ITS FINDING OR DECISION THAT A VIOLATION OF THIS AGREEMENT HAS OCCURRED.",none,NONE,liability_limitation,HIGH,"This indemnity clause requires the user to protect Apple against claims tied to breaches, service use, or investigations, creating substantial legal and financial exposure for the user.",,
apple_tos_017,apple_tos.txt,"YOU AGREE THAT YOU SHALL NOT SUE OR RECOVER ANY DAMAGES FROM APPLE, ITS DIRECTORS, OFFICERS, EMPLOYEES, AFFILIATES, AGENTS, CONTRACTORS, AND LICENSORS AS A RESULT OF ITS DECISION TO REMOVE OR DENY ACCESS TO ANY INFORMATION OR CONTENT, TO SUSPEND OR TERMINATE YOUR ACCESS TO THE SERVICES, OR TO TAKE ANY OTHER ACTION DURING THE INVESTIGATION OF A SUSPECTED VIOLATION OR AS A RESULT OF APPLE'S CONCLUSION THAT A VIOLATION OF THIS AGREEMENT HAS OCCURRED.",none,NONE,liability_limitation,HIGH,"This clause prevents the user from suing or recovering damages for removals, suspensions, or enforcement actions, which strongly restricts legal recourse.",,
apple_tos_018,apple_tos.txt,"Termination and Suspension
If you fail, or Apple suspects that you have failed, to comply with any of the provisions of this Agreement, Apple may, without notice to you, terminate this Agreement and your Apple Account, terminate your license to the software, and preclude your access to the Services.",none,NONE,none,NONE,"This clause allows Apple to terminate or suspend access without notice, but it does not fit the available label set as cleanly as the defined sharing, retention, arbitration, or content-rights categories.",,
apple_tos_019,apple_tos.txt,"Apple further reserves the right to modify, suspend, or discontinue the Services at any time with or without notice to you, and Apple will not be liable to you or to any third party should it exercise such rights.",none,NONE,liability_limitation,MEDIUM,"This clause allows Apple to modify, suspend, or discontinue services without notice and without liability, which limits accountability for service changes.",,
