clause_id,source_document,clause_text,suggested_category,suggested_risk,category,risk_level,annotator_notes,confidence,matched_keywords
spotify_001,spotify_privacy.txt,"Spotify Privacy Policy
Effective as of 27 August 2025",none,NONE,none,NONE,"This row is only the policy title and effective date, so it does not describe any risky practice or clause category.",,
spotify_002,spotify_privacy.txt,"User Data: Personal data that we need to create your Spotify account. This may include your profile name, email address, password, phone number, date of birth, gender, street address, country, university or college, estimated or confirmed age from an Age Check by a third party provider.",none,NONE,none,NONE,"This clause lists the basic account and identity information Spotify collects to create an account, but it does not itself describe sharing, retention, profiling, arbitration, liability limits, or content rights.",,
spotify_003,spotify_privacy.txt,"Usage Data: Personal data collected and processed about you when you're accessing or using the Spotify Service. This includes information about your Spotify Service Option, your actions with the Spotify Service including date and time, such as search queries, streaming history, playlists you create, your library, browsing history, account settings, interactions with other Spotify users, your use of third party services, devices and applications in connection with the Spotify Service, inferences of your age, interests and preferences based on your usage of the Spotify Service, content you provide when participating in Spotify promotions.",tracking_profiling,MEDIUM,tracking_profiling,HIGH,"This clause is tracking and profiling because it covers detailed behavioral data such as searches, streaming history, interactions, and inferred interests and preferences, which can be used to build a rich profile of the user.",0.373,browsing history
spotify_004,spotify_privacy.txt,"Technical data: URL information, online identifiers such as cookie data and IP addresses, information about the devices you use such as device IDs, network connection type, provider, network and device performance, browser type, language, information enabling digital rights management, operating system, Spotify application version, information which enables us to discover and connect with third party devices and applications.",tracking_profiling,LOW,tracking_profiling,MEDIUM,"This clause is tracking and profiling because it collects technical identifiers such as cookies, IP addresses, device IDs, and connection data that can be used to recognize devices and monitor service usage over time.",0.507,"ip address, operating system"
spotify_005,spotify_privacy.txt,"Voice Data: If voice features are available in your market and where you've chosen to use a voice feature, we collect and process voice data including audio recordings of your voice and transcripts of those recordings.",none,NONE,none,NONE,"This clause describes collection of voice recordings and transcripts for a voice feature, but within this annotation scheme it does not clearly fit the listed categories unless tied to sharing, retention, or profiling.",,
spotify_006,spotify_privacy.txt,"Age Check Data: This includes facial age estimation from a photo of your face used to estimate your age, and identity document verification including photos of your face and ID used to confirm your age and to verify that your ID belongs to you. All Age Check Data is deleted immediately after the Age Check.",none,NONE,data_retention,LOW,"This clause is data retention because it explains that age-check photos and ID verification data are deleted immediately after the age check, which reduces privacy risk rather than expanding it.",,
spotify_007,spotify_privacy.txt,Third party sources: We receive inferences from certain advertising or marketing partners. These inferences are the partners' understanding of your interests and preferences. This allows us to deliver more relevant ads and marketing. We may receive data about you from companies we acquire.,none,NONE,tracking_profiling,MEDIUM,This clause is tracking and profiling because Spotify receives inferred interests and preferences from advertising or marketing partners in order to make ads and marketing more relevant.,,
spotify_008,spotify_privacy.txt,"To evaluate and develop new features, technologies, and improvements to the Spotify Service. This includes development and training of algorithmic and machine learning models, which help us to keep our service safe and enhance our users' experience. For example, to help us develop and improve our personalised recommendation algorithms, to build AI features such as AI DJ and AI playlist.",content_rights,HIGH,tracking_profiling,MEDIUM,This clause is tracking and profiling because it says user data may be used to train algorithmic and machine learning models and improve personalized recommendation features such as AI DJ and AI playlists.,0.747,"development and training of algorithmic, build ai features"
spotify_009,spotify_privacy.txt,"For other marketing, promotion and advertising purposes where the law does not require consent. For example, when we use your personal data to tailor advertising to your interests. Our legitimate interests here include using advertising to fund the Spotify Service.",data_retention,MEDIUM,tracking_profiling,MEDIUM,"This clause is tracking and profiling because it expressly uses personal data to tailor advertising to a user's interests, which means behavior and preferences are being used for ad targeting.",0.373,legitimate interests
spotify_010,spotify_privacy.txt,"To fulfil contractual obligations with third parties. For example, when we provide pseudonymised data about our users' listening because we have an agreement with a Spotify rightsholder to do so. Pseudonymised data means that your data is identified by a code rather than your name or other directly identifying information.",none,NONE,data_sharing,LOW,"This clause is data sharing because Spotify discloses pseudonymised listening data to rightsholders under contractual agreements, but the stated use of coded rather than directly identifying data lowers the risk somewhat.",,
spotify_011,spotify_privacy.txt,"To establish, exercise, or defend legal claims. For example, if we are involved in litigation and we need to provide information to our lawyers in relation to that legal case.",data_retention,MEDIUM,third_party_access,LOW,"This clause is third-party access because Spotify may provide information to its lawyers for litigation purposes, but the access is limited to legal representation rather than broad commercial use.",0.733,"to establish, exercise, or defend"
spotify_012,spotify_privacy.txt,"To comply with a request from law enforcement, courts, or other competent and authorized third parties. This includes complying with legal obligations, and legitimate interests that include assisting law enforcement authorities to prevent or detect serious crime.",data_retention,MEDIUM,third_party_access,HIGH,"This clause is third-party access because it allows disclosure of user information to law enforcement, courts, or other authorized third parties in response to legal requests or criminal matters.",0.373,legitimate interests
spotify_013,spotify_privacy.txt,"Publicly available information: The following personal data will always be publicly available on the Spotify Service: your profile name, your profile photo, your public playlists, other content you post on the Spotify Service and any associated titles, descriptions and images, who you follow on the Spotify Service, who follows you on the Spotify Service.",none,NONE,data_sharing,MEDIUM,"This clause is data sharing because it makes certain profile information, playlists, and social connections publicly visible on the Spotify service, which reduces user privacy even if the disclosure is platform-based.",,
spotify_014,spotify_privacy.txt,"Service providers: So they can provide their services to Spotify. These service providers include those hired to give customer support, operate the technical infrastructure, assist in protecting and securing systems and services, help market Spotify and partners' products, services, events and promotions.",none,NONE,third_party_access,MEDIUM,"This clause is third-party access because Spotify gives service providers access to user data so they can support infrastructure, security, customer support, and marketing-related functions.",,
spotify_015,spotify_privacy.txt,"Advertising partners: User Data and Usage Data shared so they can help us deliver more relevant advertising to you on the Spotify Service, and help measure the effectiveness of ads. For example, our ad partners help us facilitate tailored advertising.",tracking_profiling,MEDIUM,tracking_profiling,HIGH,This clause is tracking and profiling because user and usage data are shared with advertising partners specifically to deliver more relevant advertising and measure ad effectiveness.,0.373,advertising partners
spotify_016,spotify_privacy.txt,"Marketing Partners: We share certain User Data and Usage Data with these partners to enable you to participate in Spotify promotions, to promote Spotify in media and advertising published on other online services, and to help us and our partners measure the effectiveness of Spotify promotions. Our partners may also combine the personal data we share with them with other data they collect about you, for example your use of their services. We and our partners may use this information to present you with offers, promotions, or other marketing that we think you'll find relevant.",tracking_profiling,LOW,tracking_profiling,HIGH,This clause is tracking and profiling because marketing partners may combine Spotify data with other data they already hold in order to measure promotions and show users targeted offers and marketing.,0.373,usage data
spotify_017,spotify_privacy.txt,"Other Spotify group companies, including companies that Spotify acquires: We share all categories of data including User Data, Street Address Data, Usage Data, Voice Data, Message Data, Payment and Purchase Data, and Survey and Research Data to carry out daily business operations and so we can maintain, improve and provide the Spotify Service. For example, enabling our employees who work for different group companies to develop and improve features for the Spotify Service, sharing data with our measurement companies to measure the effectiveness of ad campaigns, sharing data with our podcast companies to better understand user listening trends.",tracking_profiling,LOW,data_sharing,HIGH,"This clause is data sharing because Spotify shares all categories of user data broadly across affiliated group companies and acquired companies for operations, feature development, ad measurement, and trend analysis.",0.373,usage data
