clause_id,source_document,clause_text,suggested_category,suggested_risk,category,risk_level,annotator_notes,confidence,matched_keywords
uber_001,uber_privacy.txt,"Uber Privacy Notice: Drivers and Delivery People
Last updated: January 20, 2026",none,NONE,none,LOW,This clause is categorized as none because it involves none behavior. The risk is assessed as LOW based on potential impact on user data or rights.,,
uber_002,uber_privacy.txt,"When you use Uber, you trust us with your personal data. We're committed to keeping that trust.",none,NONE,none,LOW,This clause is categorized as none because it involves none behavior. The risk is assessed as LOW based on potential impact on user data or rights.,,
uber_003,uber_privacy.txt,"Account information: address, banking information, contact info, first and last name, government-issued ID numbers, login name and password, medical examiner's certificate, profile picture, vehicle information, insurance information, license plate number, vehicle identification number.",none,NONE,none,LOW,This clause is categorized as none because it involves none behavior. The risk is assessed as LOW based on potential impact on user data or rights.,,
uber_004,uber_privacy.txt,"Background check information: criminal record where permitted by law, current and prior addresses, driver history, known aliases, license status, right to work.",none,NONE,none,LOW,This clause is categorized as none because it involves none behavior. The risk is assessed as LOW based on potential impact on user data or rights.,,
uber_005,uber_privacy.txt,"Demographic data: date of birth, age, gender collected to enable certain features and for marketing and advertising.",none,NONE,tracking_profiling,MEDIUM,This clause is categorized as tracking_profiling because it involves tracking profiling behavior. The risk is assessed as MEDIUM based on potential impact on user data or rights.,,
uber_006,uber_privacy.txt,"Identity verification information: biometric data that allows you to be identified based on your physical or biological characteristics. Biometric data is generated when we use facial verification technology to confirm that your account is not being used by anyone other than you, or to prevent creation of fraudulent accounts. This includes government-issued identification documents such as driver's licenses or passports, user-submitted profile photos and selfies, and facial verification information.",data_sharing,HIGH,data_sharing,HIGH,This clause is categorized as data_sharing because it involves data sharing behavior. The risk is assessed as HIGH based on potential impact on user data or rights.,0.373,biometric data
uber_007,uber_privacy.txt,"User content: uploaded photos and recordings, ratings or feedback, survey responses, uploaded photos, audio and video recordings, including in-app audio recordings, dashcam footage and video and audio recordings from the Record My Ride feature.",none,NONE,none,LOW,This clause is categorized as none because it involves none behavior. The risk is assessed as LOW based on potential impact on user data or rights.,,
uber_008,uber_privacy.txt,Location data: we collect this information from your device when the Uber app is running in the foreground or background. This includes approximate location and precise location.,tracking_profiling,MEDIUM,tracking_profiling,MEDIUM,This clause is categorized as tracking_profiling because it involves tracking profiling behavior. The risk is assessed as MEDIUM based on potential impact on user data or rights.,0.76,"precise location, approximate location, location information from your device"
uber_009,uber_privacy.txt,"Trip and delivery information: earnings, statistics derived from past trip and delivery information such as acceptance rates, cancellation rates, total trips and miles traveled.",none,NONE,none,LOW,This clause is categorized as none because it involves none behavior. The risk is assessed as LOW based on potential impact on user data or rights.,,
uber_010,uber_privacy.txt,"Usage data: access dates and times, app crashes and other system activity, app features or pages viewed, browser type.",tracking_profiling,LOW,tracking_profiling,LOW,This clause is categorized as tracking_profiling because it involves tracking profiling behavior. The risk is assessed as LOW based on potential impact on user data or rights.,0.373,usage data
