clause_id,source_document,clause_text,suggested_category,suggested_risk,category,risk_level,annotator_notes,confidence,matched_keywords
meta_001,meta_privacy.txt,"Privacy Center - Privacy Policy
Effective December 16, 2025",none,NONE,none,NONE,"This is only the privacy policy title and effective date, so it does not create a substantive privacy, rights, or risk clause by itself.",,
meta_002,meta_privacy.txt,"We at Meta want you to understand what information we collect, and how we use and share it.",none,NONE,none,NONE,"This is a general introductory statement about collection, use, and sharing, but it does not describe a concrete practice specific enough to classify.",,
meta_003,meta_privacy.txt,"What information do we collect?
The information we collect and process about you depends on how you use our Products.
Some information is required for our Products to work. Other information is optional, but without it, the quality of your experience might be affected.
In some cases information is de-identified, aggregated, or anonymized by third parties so that it no longer identifies individuals before it's made available to us. We use this information as described below without trying to re-identify individuals.",none,NONE,none,NONE,"This is a broad overview of categories of information and mentions anonymized data, but it does not commit to a specific risky practice that fits one of the annotation classes.",,
meta_004,meta_privacy.txt,"How do we use your information? We use information to provide a personalized experience to you, including ads, along with the other purposes we explain in detail below.",none,NONE,tracking_profiling,MEDIUM,"This clause says Meta uses information to provide a personalized experience, including ads, which is classic profiling based on user data and directly affects ad targeting.",,
meta_005,meta_privacy.txt,"For some of these purposes, we use information across our products and information from third parties.",data_sharing,MEDIUM,data_sharing,MEDIUM,"Using information across Meta products and from third parties expands the flow of personal data beyond the immediate service context, creating a moderate sharing risk.",0.733,use information across our products
meta_006,meta_privacy.txt,The information we use for these purposes is automatically processed by our systems.,none,NONE,none,NONE,"Automatic processing by internal systems is a processing description, but it does not by itself indicate sharing, retention, rights transfer, or another listed risk category.",,
meta_007,meta_privacy.txt,"But in some cases, we also use manual review to access and review your information.",none,NONE,none,NONE,"Manual review means employees may access user information, but this is internal review rather than third-party access and does not cleanly match one of the available categories.",,
meta_008,meta_privacy.txt,"To use less information that's connected to individual users, in some cases we de-identify or aggregate information or anonymize it so that it no longer identifies you.",none,NONE,none,NONE,"This clause describes de-identification and aggregation to reduce linkability to individuals, so it is not best treated as a risk clause under the provided categories.",,
meta_009,meta_privacy.txt,"We use health, financial, political and other sensitive information you choose to provide to personalize your experience and provide suggestions for you.",tracking_profiling,MEDIUM,tracking_profiling,HIGH,"Using health, financial, political, and other sensitive information to personalize a user's experience is high-risk profiling because it relies on specially sensitive data for targeting or inference.",0.493,personalize your experience
meta_010,meta_privacy.txt,"To provide, personalize and improve our Products
We use information we have to provide and improve our Products.
Personalizing features, content and ads, such as your News Feed, Instagram Feed, Stories and ads.",none,NONE,tracking_profiling,MEDIUM,"The clause expressly links user information to personalization of features, content, and ads, which is a clear profiling use even though it is framed as product improvement.",,
meta_011,meta_privacy.txt,"To provide measurement, analytics and business services
Lots of people rely on our Products to run or promote their businesses or share content. We help them measure how well their ads and other content, products and services are working.",tracking_profiling,LOW,tracking_profiling,LOW,"This clause focuses on measurement and analytics for business services, which still involves profiling or behavioral analysis, but the stated use is less directly intrusive than personalized advertising.",0.253,analytics
meta_012,meta_privacy.txt,"How is your information shared on Meta Products or with integrated partners?
You can choose to connect with integrated partners who use our Products. If you do, these integrated partners receive information about you and your activity.
These integrated partners can always access information that's public on our Products.",third_party_access,MEDIUM,third_party_access,MEDIUM,"Integrated partners receive information about the user and their activity, so outside entities gain continuing access to user-related data, which fits third_party_access at a moderate level.",0.733,integrated partners can always access information
meta_013,meta_privacy.txt,"How do we share information with third parties?
We don't sell any of your information to anyone, and we never will. We also require partners and other third parties to follow rules about how they can and cannot use and disclose the information we provide.
We also share information with other third parties in response to legal requests, to comply with applicable law or to prevent harm.
And if we sell or transfer all or part of our business to someone else, in some cases we'll give the new owner your information as part of that transaction, but only as the law allows.",data_sharing,MEDIUM,data_sharing,MEDIUM,"This clause allows sharing with third parties for legal compliance, harm prevention, and business transfers, which broadens disclosure beyond the core service even though some limits are stated.",0.613,share with third parties
meta_014,meta_privacy.txt,"How do the Meta Companies work together?
We are part of the Meta Companies that provide Meta Company Products. Meta Companies include all the products covered by this Policy, plus other products like WhatsApp and more.
We share information we collect, infrastructure, systems and technology with the other Meta Companies.
We also process information that we receive about you from other Meta Companies, according to their terms and policies and as permitted by applicable law. In some cases, Meta acts as a service provider for other Meta Companies. We act on their behalf and in accordance with their instructions and terms.",arbitration,LOW,data_sharing,MEDIUM,"Sharing infrastructure, systems, and user information across Meta companies increases internal cross-entity data flows, so it is better treated as data sharing rather than arbitration.",0.373,applicable law
meta_015,meta_privacy.txt,"Why we share across the Meta Companies:
To promote safety, security and integrity and comply with applicable laws.
To personalize offers, ads and other sponsored or commercial content.
To develop, provide and personalize features and integrations.
To understand how people use and interact with Meta Company Products.",arbitration,LOW,data_sharing,MEDIUM,"The listed reasons include ad personalization, product development, and usage understanding across Meta companies, showing that user data is shared across affiliated entities for multiple secondary purposes.",0.373,applicable law
meta_016,meta_privacy.txt,"How long do we keep your information? We keep information as long as we need it to provide our Products, comply with legal obligations or protect our or other's interests. We decide how long we need information on a case-by-case basis. If we need it to operate or provide our Products.",data_retention,MEDIUM,data_retention,HIGH,"Saying information is kept as long as needed on a case-by-case basis gives Meta broad discretion and no clear retention limit, which creates a high retention risk.",0.613,comply with legal obligations
meta_017,meta_privacy.txt,"For example, we need to keep some of your information to maintain your account.",none,NONE,data_retention,LOW,"Retaining some information to maintain an account is an expected operational need, so it fits data retention but at a comparatively low risk level.",,
meta_018,meta_privacy.txt,How long we need to retain the information to comply with certain legal obligations.,none,NONE,data_retention,LOW,"Keeping information to comply with legal obligations is a standard retention basis and is less risky than open-ended commercial retention, so LOW is appropriate.",,
meta_019,meta_privacy.txt,"If we need it for other legitimate purposes, such as to prevent harm; investigate possible violations of our terms or policies; promote safety, security and integrity; or protect ourselves, including our rights, property or products.",none,NONE,data_retention,MEDIUM,"Retaining data for broad 'legitimate purposes' such as safety, investigations, and protection of rights leaves Meta substantial discretion, making this a moderate retention concern.",,
meta_020,meta_privacy.txt,"In some instances and for specific reasons, we'll keep information for an extended period of time.",none,NONE,data_retention,MEDIUM,"The clause explicitly says data may be kept for an extended period in some cases, but it gives no meaningful limit or examples narrow enough to reduce the retention concern.",,
meta_021,meta_privacy.txt,"How do we respond to legal requests, comply with applicable law and prevent harm?
We access, preserve, use and share your information in response to legal requests, like search warrants, court orders, production orders or subpoenas. These requests come from third parties such as civil litigants, law enforcement and other government authorities.
We access, preserve, use and share your information in accordance with applicable law.
We access, preserve, use and share your information to promote the safety, security and integrity of Meta Products, users, employees, property and the public.
We may access or preserve your information for an extended amount of time.",data_sharing,MEDIUM,data_sharing,HIGH,"This clause authorizes access, preservation, use, and sharing of information with legal and government actors and also allows extended preservation, making it a high-risk disclosure clause.",0.613,share your information with
