clause_id,source_document,clause_text,suggested_cat,suggested_risk,category,risk_level,annotator_notes,confidence,matched_keywords
airbnb_ds_001,airbnb_tos.txt,"Airbnb may share your information, including personal information, with its affiliates in order to provide and improve our products and services and support integrated offerings such as insurance and financial products.",data_sharing,MEDIUM,data_sharing,MEDIUM,"This clause is data_sharing because Airbnb says it may disclose personal information to affiliated companies for product integration and service improvement. The risk is MEDIUM because the sharing is internal to the corporate group, but it still expands how a user's data can be used across related businesses, including insurance and financial offerings.",0.85,share your information; affiliates; personal information
airbnb_ds_002,airbnb_tos.txt,"We may share your information with third-party service providers to help us run advertising and marketing campaigns, provide customer support, process payments, and fulfill other business operations.",data_sharing,MEDIUM,data_sharing,MEDIUM,"This clause is data_sharing because Airbnb states that user information may be shared with outside service providers for marketing, support, payments, and other business operations. The risk is MEDIUM because the sharing is tied to operational needs, but it still gives multiple third parties access to personal information.",0.85,share with third-party service providers; advertising; marketing
doordash_ds_001,doordash_tos.txt,"We may share personal information with merchants, Dashers, and other third parties to facilitate the services, including your name, delivery address, order details, and phone number.",data_sharing,MEDIUM,data_sharing,HIGH,"This clause is data_sharing because DoorDash says it may disclose personal information to merchants, Dashers, and other third parties in order to complete orders. The risk is HIGH because it includes sensitive transactional details such as name, phone number, delivery address, and order information being passed to multiple recipients.",0.85,share personal information; merchants; Dashers; third parties
doordash_ds_002,doordash_tos.txt,"We may share your information with advertising partners, analytics providers, and social media networks to deliver personalized ads and measure their effectiveness.",data_sharing,HIGH,data_sharing,HIGH,"This clause is data_sharing because DoorDash shares user information with advertising partners, analytics providers, and social media networks. The risk is HIGH because the data is used to personalize ads and measure performance, which significantly broadens commercial use of user information.",0.85,share with advertising partners; analytics providers; social media networks; personalized ads
doordash_ds_003,doordash_tos.txt,"In the event of a merger, acquisition, bankruptcy, dissolution, reorganization, or similar corporate transaction, your personal information may be shared with or transferred to the acquiring entity.",data_sharing,HIGH,data_sharing,HIGH,"This clause is data_sharing because it allows personal information to be transferred during a merger, acquisition, bankruptcy, or similar corporate transaction. The risk is HIGH because users may have their data moved to a new owner without meaningful control over the new entity's practices.",0.85,"merger, acquisition; transferred to acquiring entity; bankruptcy"
tiktok_ds_001,tiktok_tos.txt,"We share your information with third-party advertisers to provide you with relevant advertising, and with measurement and analytics providers to measure the performance and effectiveness of ads shown to you.",data_sharing,HIGH,data_sharing,HIGH,"This clause is data_sharing because TikTok says it shares user information with advertisers and analytics providers. The risk is HIGH because the purpose is relevant advertising and ad measurement, which exposes user data to commercial third parties for monetization.",0.85,share with third-party advertisers; measurement; analytics providers
tiktok_ds_002,tiktok_tos.txt,"Your data may be processed, transferred, and stored in the United States and other countries whose data protection laws may differ from those in your country of residence. By using our services, you consent to the transfer of your data to these countries.",data_sharing,HIGH,data_sharing,MEDIUM,This clause is data_sharing because it authorizes user data to be transferred and stored in other countries with different legal protections. The risk is MEDIUM because cross-border transfers can reduce the user's practical privacy protections even though the clause does not name a specific outside recipient.,0.85,transferred and stored in the United States; data protection laws may differ; consent to transfer
x_ds_001,x_twitter_tos.txt,"We share information with our affiliates, subsidiaries, and other companies under common ownership and control, including to provide our services, conduct internal research, and develop new features across our family of products.",data_sharing,MEDIUM,data_sharing,MEDIUM,"This clause is data_sharing because X states that it shares information with affiliates, subsidiaries, and commonly controlled companies. The risk is MEDIUM because the sharing is within the corporate family, but it still widens internal access for research, development, and service expansion.",0.85,share with affiliates; subsidiaries; common ownership
x_ds_002,x_twitter_tos.txt,"We may share or disclose your information with your consent or at your direction, such as when you authorize a third-party application to access your account or when you direct us to share feedback with a business.",data_sharing,LOW,third_party_access,LOW,This clause is third_party_access because third-party applications may access account information when the user authorizes that access. The risk is LOW because the disclosure is user-directed and based on consent rather than automatic background sharing.,0.85,share with your consent; third-party application; at your direction
coinbase_ds_001,coinbase_tos.txt,"We may share your personal information with financial institutions, payment processors, and identity verification services as required to provide the Services and to comply with applicable laws and regulations.",data_sharing,MEDIUM,data_sharing,MEDIUM,"This clause is data_sharing because Coinbase shares personal information with financial institutions, payment processors, and identity verification providers to deliver regulated services. The risk is MEDIUM because the disclosure is operationally necessary, but it still exposes financial and identity-related information to outside entities.",0.85,share with financial institutions; payment processors; identity verification
coinbase_ds_002,coinbase_tos.txt,"We share information with law enforcement, government officials, or other third parties when we are compelled to do so by a subpoena, court order, or similar legal procedure, or when we believe in good faith that the disclosure is necessary to prevent physical harm or financial loss.",data_sharing,HIGH,third_party_access,HIGH,"This clause is third_party_access because Coinbase may disclose user information to law enforcement, government officials, or other third parties in response to legal demands or a good-faith belief. The risk is HIGH because it allows sensitive account information to be turned over outside the platform under broad legal or compliance justifications.",0.85,share with law enforcement; good faith belief; subpoena; court order
disney_ds_001,disney_plus_tos.txt,"We may share your personal information across The Walt Disney Family of Companies for the purposes of operating, providing, improving, customizing, and marketing our services, products, and content.",data_sharing,MEDIUM,data_sharing,HIGH,"This clause is data_sharing because Disney may share personal information across the Disney family of companies for operations, customization, and marketing. The risk is HIGH because it enables broad internal reuse of data for commercial and personalization purposes beyond the narrow delivery of the core service.",0.85,share across The Walt Disney Family of Companies; marketing; customizing
